Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
ABW,Aruba,North America,,Latin America and Caribbean,Latin America and Caribbean
AFG,Afghanistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia
AGO,Angola,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
AIA,Anguilla,North America,,,Latin America and Caribbean
ALA,Aland Islands,Europe,,,Europe and Northern America
ALB,Albania,Europe,Europe,Europe and Central Asia,Europe and Northern America
AND,Andorra,Europe,Europe,Europe and Central Asia,Europe and Northern America
ANT,Netherlands Antilles,North America,,,
ARE,United Arab Emirates,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
ARG,Argentina,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
ARM,Armenia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
ASM,American Samoa,Oceania,,East Asia and Pacific,Oceania
ATA,Antarctica,Antarctica,,,
ATF,French Southern Territories,Antarctica,,,
ATG,Antigua and Barbuda,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
AUS,Australia,Oceania,Western Pacific,East Asia and Pacific,Oceania
AUT,Austria,Europe,Europe,Europe and Central Asia,Europe and Northern America
AZE,Azerbaijan,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
BDI,Burundi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BEL,Belgium,Europe,Europe,Europe and Central Asia,Europe and Northern America
BEN,Benin,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BES,Bonaire Sint Eustatius and Saba,North America,,,Latin America and Caribbean
BFA,Burkina Faso,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
BGD,Bangladesh,Asia,South-East Asia,South Asia,Central and Southern Asia
BGR,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America
BHR,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
BHS,Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
BIH,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America
BLM,Saint Barthélemy,North America,,,
BLR,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America
BLZ,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
BMU,Bermuda,North America,,North America,Europe and Northern America
BOL,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
BRA,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
BRB,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
BRN,Brunei,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
BTN,Bhutan,Asia,South-East Asia,South Asia,Central and Southern Asia
BVT,Bouvet Island,Antarctica,,,
BWA,Botswana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
CAF,Central African Republic,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
CAN,Canada,North America,Americas,North America,Europe and Northern America
CCK,Cocos (Keeling) Islands,Asia,,,Oceania
CHE,Switzerland,Europe,Europe,Europe and Central Asia,Europe and Northern America
CHL,Chile,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
CHN,China,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
CIV,Cote d'Ivoire,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
CMR,Cameroon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
COD,Democratic Republic of Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
COG,Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
COK,Cook Islands,Oceania,Western Pacific,,Oceania
COL,Colombia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
COM,Comoros,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
CPV,Cape Verde,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
CRI,Costa Rica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
CUB,Cuba,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
CUW,Curacao,North America,,Latin America and Caribbean,Latin America and Caribbean
CXR,Christmas Island,Asia,,,Oceania
CYM,Cayman Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
CYP,Cyprus,Europe,Europe,Europe and Central Asia,Northern Africa and Western Asia
CZE,Czechia,Europe,Europe,Europe and Central Asia,Europe and Northern America
DEU,Germany,Europe,Europe,Europe and Central Asia,Europe and Northern America
DJI,Djibouti,Africa,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa
DMA,Dominica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
DNK,Denmark,Europe,Europe,Europe and Central Asia,Europe and Northern America
DOM,Dominican Republic,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
DZA,Algeria,Africa,Africa,Middle East and North Africa,Northern Africa and Western Asia
ECU,Ecuador,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
EGY,Egypt,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
ERI,Eritrea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
ESH,Western Sahara,Africa,,,Northern Africa and Western Asia
ESP,Spain,Europe,Europe,Europe and Central Asia,Europe and Northern America
EST,Estonia,Europe,Europe,Europe and Central Asia,Europe and Northern America
ETH,Ethiopia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
FIN,Finland,Europe,Europe,Europe and Central Asia,Europe and Northern America
FJI,Fiji,Oceania,Western Pacific,East Asia and Pacific,Oceania
FLK,Falkland Islands,South America,,,Latin America and Caribbean
FRA,France,Europe,Europe,Europe and Central Asia,Europe and Northern America
FRO,Faeroe Islands,Europe,,Europe and Central Asia,Europe and Northern America
FSM,Micronesia,Oceania,Western Pacific,East Asia and Pacific,Oceania
GAB,Gabon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GBR,United Kingdom,Europe,Europe,Europe and Central Asia,Europe and Northern America
GEO,Georgia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
GGY,Guernsey,Europe,,,
GHA,Ghana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GIB,Gibraltar,Europe,,Europe and Central Asia,Europe and Northern America
GIN,Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GLP,Guadeloupe,North America,,,Latin America and Caribbean
GMB,Gambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
GRC,Greece,Europe,Europe,Europe and Central Asia,Europe and Northern America
GRD,Grenada,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
GRL,Greenland,North America,,Europe and Central Asia,Europe and Northern America
GTM,Guatemala,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
GUF,French Guiana,South America,,,Latin America and Caribbean
GUM,Guam,Oceania,,East Asia and Pacific,Oceania
GUY,Guyana,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
HKG,Hong Kong,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia
HMD,Heard Island and McDonald Islands,Antarctica,,,Oceania
HND,Honduras,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
HRV,Croatia,Europe,Europe,Europe and Central Asia,Europe and Northern America
HTI,Haiti,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
HUN,Hungary,Europe,Europe,Europe and Central Asia,Europe and Northern America
IDN,Indonesia,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
IMN,Isle of Man,Europe,,Europe and Central Asia,Europe and Northern America
IND,India,Asia,South-East Asia,South Asia,Central and Southern Asia
IOT,British Indian Ocean Territory,Asia,,,
IRL,Ireland,Europe,Europe,Europe and Central Asia,Europe and Northern America
IRN,Iran,Asia,Eastern Mediterranean,Middle East and North Africa,Central and Southern Asia
IRQ,Iraq,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
ISL,Iceland,Europe,Europe,Europe and Central Asia,Europe and Northern America
ISR,Israel,Asia,Europe,Middle East and North Africa,Northern Africa and Western Asia
ITA,Italy,Europe,Europe,Europe and Central Asia,Europe and Northern America
JAM,Jamaica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
JEY,Jersey,Europe,,,
JOR,Jordan,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
JPN,Japan,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
KAZ,Kazakhstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
KEN,Kenya,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
KGZ,Kyrgyzstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
KHM,Cambodia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
KIR,Kiribati,Oceania,Western Pacific,East Asia and Pacific,Oceania
KNA,Saint Kitts and Nevis,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
KOR,South Korea,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
KWT,Kuwait,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
LAO,Laos,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
LBN,Lebanon,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
LBR,Liberia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
LBY,Libya,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
LCA,Saint Lucia,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
LIE,Liechtenstein,Europe,,Europe and Central Asia,Europe and Northern America
LKA,Sri Lanka,Asia,South-East Asia,South Asia,Central and Southern Asia
LSO,Lesotho,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
LTU,Lithuania,Europe,Europe,Europe and Central Asia,Europe and Northern America
LUX,Luxembourg,Europe,Europe,Europe and Central Asia,Europe and Northern America
LVA,Latvia,Europe,Europe,Europe and Central Asia,Europe and Northern America
MAC,Macao,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia
MAF,Saint Martin (French part),North America,,Latin America and Caribbean,Latin America and Caribbean
MAR,Morocco,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
MCO,Monaco,Europe,Europe,Europe and Central Asia,Europe and Northern America
MDA,Moldova,Europe,Europe,Europe and Central Asia,Europe and Northern America
MDG,Madagascar,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MDV,Maldives,Asia,South-East Asia,South Asia,Central and Southern Asia
MEX,Mexico,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
MHL,Marshall Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania
MKD,North Macedonia,Europe,Europe,Europe and Central Asia,Europe and Northern America
MLI,Mali,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MLT,Malta,Europe,Europe,Middle East and North Africa,Europe and Northern America
MMR,Myanmar,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
MNE,Montenegro,Europe,Europe,Europe and Central Asia,Europe and Northern America
MNG,Mongolia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
MNP,Northern Mariana Islands,Oceania,,East Asia and Pacific,Oceania
MOZ,Mozambique,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MRT,Mauritania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MSR,Montserrat,North America,,,Latin America and Caribbean
MTQ,Martinique,North America,,,Latin America and Caribbean
MUS,Mauritius,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MWI,Malawi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
MYS,Malaysia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
MYT,Mayotte,Africa,,,Sub-Saharan Africa
NAM,Namibia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
NCL,New Caledonia,Oceania,,East Asia and Pacific,Oceania
NER,Niger,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
NFK,Norfolk Island,Oceania,,,Oceania
NGA,Nigeria,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
NIC,Nicaragua,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
NIU,Niue,Oceania,Western Pacific,,Oceania
NLD,Netherlands,Europe,Europe,Europe and Central Asia,Europe and Northern America
NOR,Norway,Europe,Europe,Europe and Central Asia,Europe and Northern America
NPL,Nepal,Asia,South-East Asia,South Asia,Central and Southern Asia
NRU,Nauru,Oceania,Western Pacific,East Asia and Pacific,Oceania
NZL,New Zealand,Oceania,Western Pacific,East Asia and Pacific,Oceania
OMN,Oman,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
OWID_ABK,Abkhazia,Asia,,,
OWID_AFR,Africa,,,,
OWID_AKD,Akrotiri and Dhekelia,Asia,,,
OWID_AUH,Austria-Hungary,Europe,,,
OWID_BAD,Baden,Europe,,,
OWID_BAV,Bavaria,Europe,,,
OWID_CIS,Channel Islands,Europe,,Europe and Central Asia,Europe and Northern America
OWID_CYN,Northern Cyprus,Asia,,,
OWID_CZS,Czechoslovakia,Europe,,,
OWID_ERE,Eritrea and Ethiopia,Africa,,,
OWID_EU27,European Union (27),,,,
OWID_EUR,Europe,,,,
OWID_GDR,East Germany,Europe,,,
OWID_GFR,West Germany,Europe,,,
OWID_HAN,Hanover,Europe,,,
OWID_HSE,Hesse Electoral,Europe,,,
OWID_HSG,Hesse Grand Ducal,Europe,,,
OWID_KOS,Kosovo,Europe,,Europe and Central Asia,Europe and Northern America
OWID_KRU,United Korea,Asia,,,
OWID_MEC,Mecklenburg Schwerin,Europe,,,
OWID_MOD,Modena,Europe,,,
OWID_NAG,Nagorno-Karabakh,Asia,,,
OWID_PMA,Parma,Europe,,,
OWID_RVN,Republic of Vietnam,Asia,,,
OWID_SAX,Saxony,Europe,,,
OWID_SEK,Serbia excluding Kosovo,Europe,,,
OWID_SIC,Two Sicilies,Europe,,,
OWID_SML,Somaliland,Africa,,,
OWID_SOS,South Ossetia,Asia,,,
OWID_SRM,Serbia and Montenegro,Europe,,,
OWID_TRS,Transnistria,Europe,,,
OWID_TUS,Tuscany,Europe,,,
OWID_USS,USSR,Europe,,,
OWID_WRL,World,,,,
OWID_WRT,Wuerttemburg,Europe,,,
OWID_YAR,Yemen Arab Republic,Asia,,,
OWID_YGS,Yugoslavia,Europe,,,
OWID_YPR,Yemen People's Republic,Asia,,,
OWID_ZAN,Zanzibar,Africa,,,
PAK,Pakistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia
PAN,Panama,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
PCN,Pitcairn,Oceania,,,Oceania
PER,Peru,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
PHL,Philippines,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
PLW,Palau,Oceania,Western Pacific,East Asia and Pacific,Oceania
PNG,Papua New Guinea,Oceania,Western Pacific,East Asia and Pacific,Oceania
POL,Poland,Europe,Europe,Europe and Central Asia,Europe and Northern America
PRI,Puerto Rico,North America,,Latin America and Caribbean,Latin America and Caribbean
PRK,North Korea,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
PRT,Portugal,Europe,Europe,Europe and Central Asia,Europe and Northern America
PRY,Paraguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
PSE,Palestine,Asia,,Middle East and North Africa,Northern Africa and Western Asia
PYF,French Polynesia,Oceania,,East Asia and Pacific,Oceania
QAT,Qatar,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
REU,Reunion,Africa,,,Sub-Saharan Africa
ROU,Romania,Europe,Europe,Europe and Central Asia,Europe and Northern America
RUS,Russia,Europe,Europe,Europe and Central Asia,Europe and Northern America
RWA,Rwanda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SAU,Saudi Arabia,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
SDN,Sudan,Africa,Eastern Mediterranean,Sub-Saharan Africa,Northern Africa and Western Asia
SEN,Senegal,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SGP,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
SGS,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean
SHN,Saint Helena,Africa,,,
SJM,Svalbard and Jan Mayen,Europe,,,
SLB,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania
SLE,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SLV,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
SMR,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America
SOM,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa
SPM,Saint Pierre and Miquelon,North America,,,
SRB,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America
SSD,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
STP,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SUR,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
SVK,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America
SVN,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America
SWE,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America
SWZ,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SXM,Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean
SYC,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
SYR,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
TCA,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
TCD,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
TGO,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
THA,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
TJK,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
TKL,Tokelau,Oceania,,,Oceania
TKM,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
TLS,Timor-Leste,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
TON,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania
TTO,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
TUN,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
TUR,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
TUV,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania
TWN,Taiwan,Asia,,,
TZA,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
UGA,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
UKR,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America
UMI,United States Minor Outlying Islands,Oceania,,,
URY,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
USA,United States,North America,Americas,North America,Europe and Northern America
UZB,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
VAT,Vatican,Europe,,,
VCT,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
VEN,Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
VGB,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
VIR,United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
VNM,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
VUT,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania
WLF,Wallis and Futuna Islands,Oceania,,,Oceania
WSM,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania
YEM,Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
ZAF,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
ZMB,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
_empty_1,Asia,,,,
_empty_2,Asia (excl. China & India),,,,
_empty_3,Asia Pacific,,,,
_empty_4,CIS,,,,
_empty_5,Eastern Africa,,,,
_empty_6,Europe (excl. EU-27),,,,
_empty_7,Europe (excl. EU-28),,,,
_empty_8,European Union (28),,,,
_empty_9,French Equatorial Africa,,,,
_empty_10,French West Africa,,,,
_empty_11,Hawaiian Trade Zone,,,,
_empty_12,High-income countries,,,,
_empty_13,International,,,,
_empty_14,International transport,,,,
_empty_15,Kuwaiti Oil Fires,,,,
_empty_16,Leeward Islands,,,,
_empty_17,Lower-middle-income countries,,,,
_empty_18,Low-income countries,,,,
_empty_19,Middle Africa,,,,
_empty_20,Middle East,,,,
_empty_21,Non-OECD,,,,
_empty_22,North America,,,,
_empty_23,North America (excl. USA),,,,
_empty_24,Oceania,,,,
_empty_25,OECD,,,,
_empty_26,Panama Canal Zone,,,,
_empty_27,Ryukyu Islands,,,,
_empty_28,South America,,,,
_empty_29,St. Kitts-Nevis-Anguilla,,,,
_empty_30,U.S. Pacific Islands,,,,
_empty_31,U.S. Territories,,,,
_empty_32,Upper-middle-income countries,,,,
_empty_33,Wake Island,,,,
_empty_34,Western Africa,,,,
