,Code,Entity Name,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,WB,iso2Code3,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,ISO,Country,WEO
240,SLV,El Salvador,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,SLV,SLV,SV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,San Salvador,-89.2073,13.7034,SLV,El Salvador,SLV
241,SMR,San Marino,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America,SMR,SMR,SM,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,12.4486,43.9322,SMR,San Marino,SMR
242,SOM,Somalia,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa,SOM,SOM,SO,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,45.3254,2.07515,SOM,Somalia,SOM
243,SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,,,,SPM,,,,,,,,,,,,,
244,SRB,Serbia,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024,SRB,Serbia,SRB
245,SSD,South Sudan,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85,SSD,South Sudan,SSD
246,STP,Sao Tome and Principe,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618,STP,São Tomé and Príncipe,STP
247,SUR,Suriname,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232,SUR,Suriname,SUR
248,SVK,Slovak Republic,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484,SVK,Slovak Republic,SVK
249,SVN,Slovenia,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546,SVN,Slovenia,SVN
250,SWE,Sweden,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327,SWE,Sweden,SWE
251,SWZ,Eswatini,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225,SWZ,Eswatini,SWZ
252,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,,,,
253,SYC,Seychelles,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309,SYC,Seychelles,SYC
254,SYR,Syrian Arab Republic,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SYR,SYR,SY,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,36.3119,33.5146,SYR,Syria,SYR
255,TCA,Turks and Caicos Islands,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,TCA,TCA,TC,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,-71.141389,21.4602778,,,
256,TCD,Chad,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TCD,TCD,TD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,15.0445,12.1048,TCD,Chad,TCD
257,TGO,Togo,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TGO,TGO,TG,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,1.2255,6.1228,TGO,Togo,TGO
258,THA,Thailand,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,THA,THA,TH,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,100.521,13.7308,THA,Thailand,THA
259,TJK,Tajikistan,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TJK,TJK,TJ,Tajikistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Dushanbe,68.7864,38.5878,TJK,Tajikistan,TJK
260,TKL,Tokelau,Tokelau,Oceania,,,Oceania,TKL,,,,,,,,,,,,,
261,TKM,Turkmenistan,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TKM,TKM,TM,Turkmenistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ashgabat,58.3794,37.9509,TKM,Turkmenistan,TKM
262,TLS,Timor-Leste,Timor-Leste,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,TLS,TLS,TL,Timor-Leste,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Dili,125.567,-8.56667,TLS,Timor-Leste,TLS
263,TON,Tonga,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania,TON,TON,TO,Tonga,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Nuku'alofa,-175.216,-21.136,TON,Tonga,TON
264,TTO,Trinidad and Tobago,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,TTO,TTO,TT,Trinidad and Tobago,Latin America & Caribbean ,,High income,IBRD,Port-of-Spain,-61.4789,10.6596,TTO,Trinidad and Tobago,TTO
265,TUN,Tunisia,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,TUN,TUN,TN,Tunisia,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tunis,10.21,36.7899,TUN,Tunisia,TUN
266,TUR,Turkey,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,TUR,TUR,TR,Turkey,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ankara,32.3606,39.7153,TUR,Turkey,TUR
267,TUV,Tuvalu,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania,TUV,TUV,TV,Tuvalu,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Funafuti,179.089567,-8.6314877,TUV,Tuvalu,TUV
268,TWN,"Taiwan, China",Taiwan,Asia,,,,TWN,TWN,TW,"Taiwan, China",East Asia & Pacific,,High income,Not classified,,,,TWN,Taiwan Province of China,TWN
269,TZA,Tanzania,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TZA,TZA,TZ,Tanzania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma,35.7382,-6.17486,TZA,Tanzania,TZA
270,UGA,Uganda,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,UGA,UGA,UG,Uganda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala,32.5729,0.314269,UGA,Uganda,UGA
271,UKR,Ukraine,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America,UKR,UKR,UA,Ukraine,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IBRD,Kiev,30.5038,50.4536,UKR,Ukraine,UKR
272,UMI,United States Minor Outlying Islands,United States Minor Outlying Islands,Oceania,,,,UMI,,,,,,,,,,,,,
273,URY,Uruguay,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,URY,URY,UY,Uruguay,Latin America & Caribbean ,,High income,IBRD,Montevideo,-56.0675,-34.8941,URY,Uruguay,URY
274,USA,United States,United States,North America,Americas,North America,Europe and Northern America,USA,USA,US,United States,North America,,High income,Not classified,Washington D.C.,-77.032,38.8895,USA,United States,USA
275,UZB,Uzbekistan,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,UZB,UZB,UZ,Uzbekistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent,69.269,41.3052,UZB,Uzbekistan,UZB
276,VAT,Vatican,Vatican,Europe,,,,VAT,,,,,,,,,,,,,
277,VCT,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,VCT,VCT,VC,St. Vincent and the Grenadines,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown,-61.2653,13.2035,VCT,St. Vincent and the Grenadines,VCT
278,VEN,"Venezuela, RB",Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,VEN,VEN,VE,"Venezuela, RB",Latin America & Caribbean ,,Not classified,IBRD,Caracas,-69.8371,9.08165,VEN,Venezuela,VEN
279,VGB,British Virgin Islands,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VGB,VGB,VG,British Virgin Islands,Latin America & Caribbean ,,High income,Not classified,Road Town,-64.623056,18.431389,,,
280,VIR,Virgin Islands (U.S.),United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VIR,VIR,VI,Virgin Islands (U.S.),Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie,-64.8963,18.3358,,,
281,VNM,Vietnam,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,VNM,VNM,VN,Vietnam,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi,105.825,21.0069,VNM,Vietnam,VNM
282,VUT,Vanuatu,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania,VUT,VUT,VU,Vanuatu,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila,168.321,-17.7404,VUT,Vanuatu,VUT
283,WLF,Wallis and Futuna Islands,Wallis and Futuna Islands,Oceania,,,Oceania,WLF,,,,,,,,,,,,,
284,WSM,Samoa,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania,WSM,WSM,WS,Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia,-171.752,-13.8314,WSM,Samoa,WSM
285,YEM,"Yemen, Rep.",Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,YEM,YEM,YE,"Yemen, Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a,44.2075,15.352,YEM,Yemen,YEM
286,ZAF,South Africa,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZAF,ZAF,ZA,South Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria,28.1871,-25.746,ZAF,South Africa,ZAF
287,ZMB,Zambia,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZMB,ZMB,ZM,Zambia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Lusaka,28.2937,-15.3982,ZMB,Zambia,ZMB
288,ZWE,Zimbabwe,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZWE,ZWE,ZW,Zimbabwe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare,31.0672,-17.8312,ZWE,Zimbabwe,ZWE
289,AFE,Africa Eastern and Southern,,,,,,,AFE,ZH,Africa Eastern and Southern,Aggregates,,Aggregates,Aggregates,,,,,,
290,AFW,Africa Western and Central,,,,,,,AFW,ZI,Africa Western and Central,Aggregates,,Aggregates,Aggregates,,,,,,
291,ARB,Arab World,,,,,,,ARB,1A,Arab World,Aggregates,,Aggregates,Aggregates,,,,,,
292,BEA,East Asia & Pacific (IBRD-only countries),,,,,,,BEA,B4,East Asia & Pacific (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,,
293,BEC,Europe & Central Asia (IBRD-only countries),,,,,,,BEC,B7,Europe & Central Asia (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,,
294,BHI,IBRD countries classified as high income,,,,,,,BHI,B1,IBRD countries classified as high income,Aggregates,,Aggregates,Aggregates,,,,,,
295,BLA,Latin America & the Caribbean (IBRD-only countries),,,,,,,BLA,B2,Latin America & the Caribbean (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,,
296,BMN,Middle East & North Africa (IBRD-only countries),,,,,,,BMN,B3,Middle East & North Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,,
297,BSS,Sub-Saharan Africa (IBRD-only countries),,,,,,,BSS,B6,Sub-Saharan Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,,
298,CAA,Sub-Saharan Africa (IFC classification),,,,,,,CAA,C9,Sub-Saharan Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
299,CEA,East Asia and the Pacific (IFC classification),,,,,,,CEA,C4,East Asia and the Pacific (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
300,CEB,Central Europe and the Baltics,,,,,,,CEB,B8,Central Europe and the Baltics,Aggregates,,Aggregates,Aggregates,,,,,,
301,CEU,Europe and Central Asia (IFC classification),,,,,,,CEU,C5,Europe and Central Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
302,CLA,Latin America and the Caribbean (IFC classification),,,,,,,CLA,C6,Latin America and the Caribbean (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
303,CME,Middle East and North Africa (IFC classification),,,,,,,CME,C7,Middle East and North Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
304,CSA,South Asia (IFC classification),,,,,,,CSA,C8,South Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,,
305,CSS,Caribbean small states,,,,,,,CSS,S3,Caribbean small states,Aggregates,,Aggregates,Aggregates,,,,,,
306,DEA,East Asia & Pacific (IDA-eligible countries),,,,,,,DEA,D4,East Asia & Pacific (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
307,DEC,Europe & Central Asia (IDA-eligible countries),,,,,,,DEC,D7,Europe & Central Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
308,DFS,IDA countries classified as Fragile Situations,,,,,,,DFS,D8,IDA countries classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,,,
309,DLA,Latin America & the Caribbean (IDA-eligible countries),,,,,,,DLA,D2,Latin America & the Caribbean (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
310,DMN,Middle East & North Africa (IDA-eligible countries),,,,,,,DMN,D3,Middle East & North Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
311,DNF,IDA countries not classified as Fragile Situations,,,,,,,DNF,D9,IDA countries not classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,,,
312,DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,,,,,,,DNS,N6,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,,,
313,DSA,South Asia (IDA-eligible countries),,,,,,,DSA,D5,South Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
314,DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,,,,,,,DSF,F6,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,,,
315,DSS,Sub-Saharan Africa (IDA-eligible countries),,,,,,,DSS,D6,Sub-Saharan Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,,
316,EAP,East Asia & Pacific (excluding high income),,,,,,,EAP,4E,East Asia & Pacific (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,,
317,EAR,Early-demographic dividend,,,,,,,EAR,V2,Early-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,,,
318,EAS,East Asia & Pacific,,,,,,,EAS,Z4,East Asia & Pacific,Aggregates,,Aggregates,Aggregates,,,,,,
319,ECA,Europe & Central Asia (excluding high income),,,,,,,ECA,7E,Europe & Central Asia (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,,
320,ECS,Europe & Central Asia,,,,,,,ECS,Z7,Europe & Central Asia,Aggregates,,Aggregates,Aggregates,,,,,,
321,EMU,Euro area,,,,,,,EMU,XC,Euro area,Aggregates,,Aggregates,Aggregates,,,,,,
322,EUU,European Union,,,,,,,EUU,EU,European Union,Aggregates,,Aggregates,Aggregates,,,,,,
323,FCS,Fragile and conflict affected situations,,,,,,,FCS,F1,Fragile and conflict affected situations,Aggregates,,Aggregates,Aggregates,,,,,,
324,FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",,,,,,,FXS,6F,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,,Aggregates,Aggregates,,,,,,
325,HIC,High income,High-income countries,,,,,,HIC,XD,High income,Aggregates,,Aggregates,Aggregates,,,,,,
326,HPC,Heavily indebted poor countries (HIPC),,,,,,,HPC,XE,Heavily indebted poor countries (HIPC),Aggregates,,Aggregates,Aggregates,,,,,,
327,IBB,"IBRD, including blend",,,,,,,IBB,ZB,"IBRD, including blend",Aggregates,,Aggregates,Aggregates,,,,,,
328,IBD,IBRD only,,,,,,,IBD,XF,IBRD only,Aggregates,,Aggregates,Aggregates,,,,,,
329,IBT,IDA & IBRD total,,,,,,,IBT,ZT,IDA & IBRD total,Aggregates,,Aggregates,Aggregates,,,,,,
330,IDA,IDA total,,,,,,,IDA,XG,IDA total,Aggregates,,Aggregates,Aggregates,,,,,,
331,IDB,IDA blend,,,,,,,IDB,XH,IDA blend,Aggregates,,Aggregates,Aggregates,,,,,,
332,IDX,IDA only,,,,,,,IDX,XI,IDA only,Aggregates,,Aggregates,Aggregates,,,,,,
333,INX,Not classified,,,,,,,INX,XY,Not classified,Aggregates,,Aggregates,Aggregates,,,,,,
334,LAC,Latin America & Caribbean (excluding high income),,,,,,,LAC,XJ,Latin America & Caribbean (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,,
335,LCN,Latin America & Caribbean ,,,,,,,LCN,ZJ,Latin America & Caribbean ,Aggregates,,Aggregates,Aggregates,,,,,,
336,LDC,Least developed countries: UN classification,,,,,,,LDC,XL,Least developed countries: UN classification,Aggregates,,Aggregates,Aggregates,,,,,,
337,LIC,Low income,Low-income countries,,,,,,LIC,XM,Low income,Aggregates,,Aggregates,Aggregates,,,,,,
338,LMC,Lower middle income,Lower-middle-income countries,,,,,,LMC,XN,Lower middle income,Aggregates,,Aggregates,Aggregates,,,,,,
339,LMY,Low & middle income,,,,,,,LMY,XO,Low & middle income,Aggregates,,Aggregates,Aggregates,,,,,,
340,LTE,Late-demographic dividend,,,,,,,LTE,V3,Late-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,,,
341,MDE,Middle East (developing only),,,,,,,MDE,M1,Middle East (developing only),Aggregates,,Aggregates,Aggregates,,,,,,
342,MEA,Middle East & North Africa,,,,,,,MEA,ZQ,Middle East & North Africa,Aggregates,,Aggregates,Aggregates,,,,,,
343,MIC,Middle income,,,,,,,MIC,XP,Middle income,Aggregates,,Aggregates,Aggregates,,,,,,
344,MNA,Middle East & North Africa (excluding high income),,,,,,,MNA,XQ,Middle East & North Africa (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,,
345,NAC,North America,North America,,,,,,NAC,XU,North America,Aggregates,,Aggregates,Aggregates,,,,,,
346,NAF,North Africa,,,,,,,NAF,M2,North Africa,Aggregates,,Aggregates,Aggregates,,,,,,
347,NRS,Non-resource rich Sub-Saharan Africa countries,,,,,,,NRS,6X,Non-resource rich Sub-Saharan Africa countries,Aggregates,,Aggregates,Aggregates,,,,,,
348,NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",,,,,,,NXS,6N,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,,Aggregates,Aggregates,,,,,,
349,OED,OECD members,OECD,,,,,,OED,OE,OECD members,Aggregates,,Aggregates,Aggregates,,,,,,
350,OSS,Other small states,,,,,,,OSS,S4,Other small states,Aggregates,,Aggregates,Aggregates,,,,,,
351,PRE,Pre-demographic dividend,,,,,,,PRE,V1,Pre-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,,,
352,PSS,Pacific island small states,,,,,,,PSS,S2,Pacific island small states,Aggregates,,Aggregates,Aggregates,,,,,,
353,PST,Post-demographic dividend,,,,,,,PST,V4,Post-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,,,
354,RRS,Resource rich Sub-Saharan Africa countries,,,,,,,RRS,R6,Resource rich Sub-Saharan Africa countries,Aggregates,,Aggregates,Aggregates,,,,,,
355,SAS,South Asia,,,,,,,SAS,8S,South Asia,Aggregates,,Aggregates,Aggregates,,,,,,
356,SSA,Sub-Saharan Africa (excluding high income),,,,,,,SSA,ZF,Sub-Saharan Africa (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,,
357,SSF,Sub-Saharan Africa ,,,,,,,SSF,ZG,Sub-Saharan Africa ,Aggregates,,Aggregates,Aggregates,,,,,,
358,SST,Small states,,,,,,,SST,S1,Small states,Aggregates,,Aggregates,Aggregates,,,,,,
359,SXZ,Sub-Saharan Africa excluding South Africa,,,,,,,SXZ,A4,Sub-Saharan Africa excluding South Africa,Aggregates,,Aggregates,Aggregates,,,,,,
360,TEA,East Asia & Pacific (IDA & IBRD countries),,,,,,,TEA,T4,East Asia & Pacific (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,,
361,TEC,Europe & Central Asia (IDA & IBRD countries),,,,,,,TEC,T7,Europe & Central Asia (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,,
362,TLA,Latin America & the Caribbean (IDA & IBRD countries),,,,,,,TLA,T2,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,,
363,TMN,Middle East & North Africa (IDA & IBRD countries),,,,,,,TMN,T3,Middle East & North Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,,
364,TSA,South Asia (IDA & IBRD),,,,,,,TSA,T5,South Asia (IDA & IBRD),Aggregates,,Aggregates,Aggregates,,,,,,
365,TSS,Sub-Saharan Africa (IDA & IBRD countries),,,,,,,TSS,T6,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,,
366,UMC,Upper middle income,Upper-middle-income countries,,,,,,UMC,XT,Upper middle income,Aggregates,,Aggregates,Aggregates,,,,,,
367,XZN,Sub-Saharan Africa excluding South Africa and Nigeria,,,,,,,XZN,A5,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,,Aggregates,Aggregates,,,,,,
368,,Asia,Asia,,,,,,,,,,,,,,,,,,
369,,Asia (excl. China & India),Asia (excl. China & India),,,,,,,,,,,,,,,,,,
370,,Asia Pacific,Asia Pacific,,,,,,,,,,,,,,,,,,
371,,CIS,CIS,,,,,,,,,,,,,,,,,,
372,,Eastern Africa,Eastern Africa,,,,,,,,,,,,,,,,,,
373,,Europe (excl. EU-27),Europe (excl. EU-27),,,,,,,,,,,,,,,,,,
374,,Europe (excl. EU-28),Europe (excl. EU-28),,,,,,,,,,,,,,,,,,
375,,European Union (28),European Union (28),,,,,,,,,,,,,,,,,,
376,,French Equatorial Africa,French Equatorial Africa,,,,,,,,,,,,,,,,,,
377,,French West Africa,French West Africa,,,,,,,,,,,,,,,,,,
378,,Hawaiian Trade Zone,Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,
379,,International,International,,,,,,,,,,,,,,,,,,
380,,International transport,International transport,,,,,,,,,,,,,,,,,,
381,,Kuwaiti Oil Fires,Kuwaiti Oil Fires,,,,,,,,,,,,,,,,,,
382,,Leeward Islands,Leeward Islands,,,,,,,,,,,,,,,,,,
383,,Middle Africa,Middle Africa,,,,,,,,,,,,,,,,,,
384,,Middle East,Middle East,,,,,,,,,,,,,,,,,,
385,,Non-OECD,Non-OECD,,,,,,,,,,,,,,,,,,
386,,North America (excl. USA),North America (excl. USA),,,,,,,,,,,,,,,,,,
387,,Oceania,Oceania,,,,,,,,,,,,,,,,,,
388,,Panama Canal Zone,Panama Canal Zone,,,,,,,,,,,,,,,,,,
389,,Ryukyu Islands,Ryukyu Islands,,,,,,,,,,,,,,,,,,
390,,South America,South America,,,,,,,,,,,,,,,,,,
391,,St. Kitts-Nevis-Anguilla,St. Kitts-Nevis-Anguilla,,,,,,,,,,,,,,,,,,
392,,U.S. Pacific Islands,U.S. Pacific Islands,,,,,,,,,,,,,,,,,,
393,,U.S. Territories,U.S. Territories,,,,,,,,,,,,,,,,,,
394,,Wake Island,Wake Island,,,,,,,,,,,,,,,,,,
395,,Western Africa,Western Africa,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,UVK,Kosovo,UVK
397,,,,,,,,,,,,,,,,,,,WBG,West Bank and Gaza,WBG
