,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
234.0,SGP,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,SGP,SG,Singapore,East Asia & Pacific,,High income,Not classified,Singapore,103.85,1.28941,SGP
235.0,SGS,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean,SGS,,,,,,,,,,
236.0,SHN,Saint Helena,Africa,,,,SHN,,,,,,,,,,
237.0,SJM,Svalbard and Jan Mayen,Europe,,,,SJM,,,,,,,,,,
238.0,SLB,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,SLB,SB,Solomon Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Honiara,159.949,-9.42676,SLB
239.0,SLE,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SLE,SL,Sierra Leone,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Freetown,-13.2134,8.4821,SLE
240.0,SLV,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,SLV,SV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,San Salvador,-89.2073,13.7034,SLV
241.0,SMR,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America,SMR,SM,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,12.4486,43.9322,SMR
242.0,SOM,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa,SOM,SO,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,45.3254,2.07515,SOM
243.0,SPM,Saint Pierre and Miquelon,North America,,,,SPM,,,,,,,,,,
244.0,SRB,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024,SRB
245.0,SSD,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85,SSD
246.0,STP,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618,STP
247.0,SUR,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232,SUR
248.0,SVK,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484,SVK
249.0,SVN,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546,SVN
250.0,SWE,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327,SWE
251.0,SWZ,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225,SWZ
252.0,SXM,Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,,SXM
253.0,SYC,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309,SYC
254.0,SYR,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SYR,SY,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,36.3119,33.5146,SYR
255.0,TCA,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,TCA,TC,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,-71.141389,21.4602778,TCA
256.0,TCD,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TCD,TD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,15.0445,12.1048,TCD
257.0,TGO,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TGO,TG,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,1.2255,6.1228,TGO
258.0,THA,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,THA,TH,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,100.521,13.7308,THA
259.0,TJK,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TJK,TJ,Tajikistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Dushanbe,68.7864,38.5878,TJK
260.0,TKL,Tokelau,Oceania,,,Oceania,TKL,,,,,,,,,,
261.0,TKM,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TKM,TM,Turkmenistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ashgabat,58.3794,37.9509,TKM
262.0,TLS,Timor-Leste,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,TLS,TL,Timor-Leste,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Dili,125.567,-8.56667,TLS
263.0,TON,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania,TON,TO,Tonga,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Nuku'alofa,-175.216,-21.136,TON
264.0,TTO,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,TTO,TT,Trinidad and Tobago,Latin America & Caribbean ,,High income,IBRD,Port-of-Spain,-61.4789,10.6596,TTO
265.0,TUN,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,TUN,TN,Tunisia,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tunis,10.21,36.7899,TUN
266.0,TUR,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,TUR,TR,Turkey,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ankara,32.3606,39.7153,TUR
267.0,TUV,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania,TUV,TV,Tuvalu,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Funafuti,179.089567,-8.6314877,TUV
268.0,TWN,Taiwan,Asia,,,,TWN,TW,"Taiwan, China",East Asia & Pacific,,High income,Not classified,,,,TWN
269.0,TZA,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TZA,TZ,Tanzania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma,35.7382,-6.17486,TZA
270.0,UGA,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,UGA,UG,Uganda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala,32.5729,0.314269,UGA
271.0,UKR,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America,UKR,UA,Ukraine,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IBRD,Kiev,30.5038,50.4536,UKR
272.0,UMI,United States Minor Outlying Islands,Oceania,,,,UMI,,,,,,,,,,
273.0,URY,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,URY,UY,Uruguay,Latin America & Caribbean ,,High income,IBRD,Montevideo,-56.0675,-34.8941,URY
274.0,USA,United States,North America,Americas,North America,Europe and Northern America,USA,US,United States,North America,,High income,Not classified,Washington D.C.,-77.032,38.8895,USA
275.0,UZB,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,UZB,UZ,Uzbekistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent,69.269,41.3052,UZB
276.0,VAT,Vatican,Europe,,,,VAT,,,,,,,,,,
277.0,VCT,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,VCT,VC,St. Vincent and the Grenadines,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown,-61.2653,13.2035,VCT
278.0,VEN,Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,VEN,VE,"Venezuela, RB",Latin America & Caribbean ,,Not classified,IBRD,Caracas,-69.8371,9.08165,VEN
279.0,VGB,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VGB,VG,British Virgin Islands,Latin America & Caribbean ,,High income,Not classified,Road Town,-64.623056,18.431389,VGB
280.0,VIR,United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VIR,VI,Virgin Islands (U.S.),Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie,-64.8963,18.3358,VIR
281.0,VNM,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,VNM,VN,Vietnam,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi,105.825,21.0069,VNM
282.0,VUT,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania,VUT,VU,Vanuatu,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila,168.321,-17.7404,VUT
283.0,WLF,Wallis and Futuna Islands,Oceania,,,Oceania,WLF,,,,,,,,,,
284.0,WSM,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania,WSM,WS,Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia,-171.752,-13.8314,WSM
285.0,YEM,Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,YEM,YE,"Yemen, Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a,44.2075,15.352,YEM
286.0,ZAF,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZAF,ZA,South Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria,28.1871,-25.746,ZAF
287.0,ZMB,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZMB,ZM,Zambia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Lusaka,28.2937,-15.3982,ZMB
288.0,ZWE,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZWE,ZW,Zimbabwe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare,31.0672,-17.8312,ZWE
289.0,_empty_1,Asia,,,,,_empty_1,,,,,,,,,,
290.0,_empty_2,Asia (excl. China & India),,,,,_empty_2,,,,,,,,,,
291.0,_empty_3,Asia Pacific,,,,,_empty_3,,,,,,,,,,
292.0,_empty_4,CIS,,,,,_empty_4,,,,,,,,,,
293.0,_empty_5,Eastern Africa,,,,,_empty_5,,,,,,,,,,
294.0,_empty_6,Europe (excl. EU-27),,,,,_empty_6,,,,,,,,,,
295.0,_empty_7,Europe (excl. EU-28),,,,,_empty_7,,,,,,,,,,
296.0,_empty_8,European Union (28),,,,,_empty_8,,,,,,,,,,
297.0,_empty_9,French Equatorial Africa,,,,,_empty_9,,,,,,,,,,
298.0,_empty_10,French West Africa,,,,,_empty_10,,,,,,,,,,
299.0,_empty_11,Hawaiian Trade Zone,,,,,_empty_11,,,,,,,,,,
300.0,_empty_12,High-income countries,,,,,_empty_12,,,,,,,,,,
301.0,_empty_13,International,,,,,_empty_13,,,,,,,,,,
302.0,_empty_14,International transport,,,,,_empty_14,,,,,,,,,,
303.0,_empty_15,Kuwaiti Oil Fires,,,,,_empty_15,,,,,,,,,,
304.0,_empty_16,Leeward Islands,,,,,_empty_16,,,,,,,,,,
305.0,_empty_17,Lower-middle-income countries,,,,,_empty_17,,,,,,,,,,
306.0,_empty_18,Low-income countries,,,,,_empty_18,,,,,,,,,,
307.0,_empty_19,Middle Africa,,,,,_empty_19,,,,,,,,,,
308.0,_empty_20,Middle East,,,,,_empty_20,,,,,,,,,,
309.0,_empty_21,Non-OECD,,,,,_empty_21,,,,,,,,,,
310.0,_empty_22,North America,,,,,_empty_22,,,,,,,,,,
311.0,_empty_23,North America (excl. USA),,,,,_empty_23,,,,,,,,,,
312.0,_empty_24,Oceania,,,,,_empty_24,,,,,,,,,,
313.0,_empty_25,OECD,,,,,_empty_25,,,,,,,,,,
314.0,_empty_26,Panama Canal Zone,,,,,_empty_26,,,,,,,,,,
315.0,_empty_27,Ryukyu Islands,,,,,_empty_27,,,,,,,,,,
316.0,_empty_28,South America,,,,,_empty_28,,,,,,,,,,
317.0,_empty_29,St. Kitts-Nevis-Anguilla,,,,,_empty_29,,,,,,,,,,
318.0,_empty_30,U.S. Pacific Islands,,,,,_empty_30,,,,,,,,,,
319.0,_empty_31,U.S. Territories,,,,,_empty_31,,,,,,,,,,
320.0,_empty_32,Upper-middle-income countries,,,,,_empty_32,,,,,,,,,,
321.0,_empty_33,Wake Island,,,,,_empty_33,,,,,,,,,,
322.0,_empty_34,Western Africa,,,,,_empty_34,,,,,,,,,,
,AFE,,,,,,,ZH,Africa Eastern and Southern,Aggregates,,Aggregates,Aggregates,,,,AFE
,AFR,,,,,,,A9,Africa,Aggregates,,Aggregates,Aggregates,,,,AFR
,AFW,,,,,,,ZI,Africa Western and Central,Aggregates,,Aggregates,Aggregates,,,,AFW
,ARB,,,,,,,1A,Arab World,Aggregates,,Aggregates,Aggregates,,,,ARB
,BEA,,,,,,,B4,East Asia & Pacific (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,BEA
,BEC,,,,,,,B7,Europe & Central Asia (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,BEC
,BHI,,,,,,,B1,IBRD countries classified as high income,Aggregates,,Aggregates,Aggregates,,,,BHI
,BLA,,,,,,,B2,Latin America & the Caribbean (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,BLA
,BMN,,,,,,,B3,Middle East & North Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,BMN
,BSS,,,,,,,B6,Sub-Saharan Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,BSS
,CAA,,,,,,,C9,Sub-Saharan Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CAA
,CEA,,,,,,,C4,East Asia and the Pacific (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CEA
,CEB,,,,,,,B8,Central Europe and the Baltics,Aggregates,,Aggregates,Aggregates,,,,CEB
,CEU,,,,,,,C5,Europe and Central Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CEU
,CHI,,,,,,,JG,Channel Islands,Europe & Central Asia,,High income,Not classified,,,,CHI
,CLA,,,,,,,C6,Latin America and the Caribbean (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CLA
,CME,,,,,,,C7,Middle East and North Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CME
,CSA,,,,,,,C8,South Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,CSA
,CSS,,,,,,,S3,Caribbean small states,Aggregates,,Aggregates,Aggregates,,,,CSS
,DEA,,,,,,,D4,East Asia & Pacific (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DEA
,DEC,,,,,,,D7,Europe & Central Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DEC
,DFS,,,,,,,D8,IDA countries classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,DFS
,DLA,,,,,,,D2,Latin America & the Caribbean (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DLA
,DMN,,,,,,,D3,Middle East & North Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DMN
,DNF,,,,,,,D9,IDA countries not classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,DNF
,DNS,,,,,,,N6,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,DNS
,DSA,,,,,,,D5,South Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DSA
,DSF,,,,,,,F6,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,DSF
,DSS,,,,,,,D6,Sub-Saharan Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,DSS
,EAP,,,,,,,4E,East Asia & Pacific (excluding high income),Aggregates,,Aggregates,Aggregates,,,,EAP
,EAR,,,,,,,V2,Early-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,EAR
,EAS,,,,,,,Z4,East Asia & Pacific,Aggregates,,Aggregates,Aggregates,,,,EAS
,ECA,,,,,,,7E,Europe & Central Asia (excluding high income),Aggregates,,Aggregates,Aggregates,,,,ECA
,ECS,,,,,,,Z7,Europe & Central Asia,Aggregates,,Aggregates,Aggregates,,,,ECS
,EMU,,,,,,,XC,Euro area,Aggregates,,Aggregates,Aggregates,,,,EMU
,EUU,,,,,,,EU,European Union,Aggregates,,Aggregates,Aggregates,,,,EUU
,FCS,,,,,,,F1,Fragile and conflict affected situations,Aggregates,,Aggregates,Aggregates,,,,FCS
,FXS,,,,,,,6F,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,,Aggregates,Aggregates,,,,FXS
,HIC,,,,,,,XD,High income,Aggregates,,Aggregates,Aggregates,,,,HIC
,HPC,,,,,,,XE,Heavily indebted poor countries (HIPC),Aggregates,,Aggregates,Aggregates,,,,HPC
,IBB,,,,,,,ZB,"IBRD, including blend",Aggregates,,Aggregates,Aggregates,,,,IBB
,IBD,,,,,,,XF,IBRD only,Aggregates,,Aggregates,Aggregates,,,,IBD
,IBT,,,,,,,ZT,IDA & IBRD total,Aggregates,,Aggregates,Aggregates,,,,IBT
,IDA,,,,,,,XG,IDA total,Aggregates,,Aggregates,Aggregates,,,,IDA
,IDB,,,,,,,XH,IDA blend,Aggregates,,Aggregates,Aggregates,,,,IDB
,IDX,,,,,,,XI,IDA only,Aggregates,,Aggregates,Aggregates,,,,IDX
,INX,,,,,,,XY,Not classified,Aggregates,,Aggregates,Aggregates,,,,INX
,LAC,,,,,,,XJ,Latin America & Caribbean (excluding high income),Aggregates,,Aggregates,Aggregates,,,,LAC
,LCN,,,,,,,ZJ,Latin America & Caribbean ,Aggregates,,Aggregates,Aggregates,,,,LCN
,LDC,,,,,,,XL,Least developed countries: UN classification,Aggregates,,Aggregates,Aggregates,,,,LDC
,LIC,,,,,,,XM,Low income,Aggregates,,Aggregates,Aggregates,,,,LIC
,LMC,,,,,,,XN,Lower middle income,Aggregates,,Aggregates,Aggregates,,,,LMC
,LMY,,,,,,,XO,Low & middle income,Aggregates,,Aggregates,Aggregates,,,,LMY
,LTE,,,,,,,V3,Late-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,LTE
,MDE,,,,,,,M1,Middle East (developing only),Aggregates,,Aggregates,Aggregates,,,,MDE
,MEA,,,,,,,ZQ,Middle East & North Africa,Aggregates,,Aggregates,Aggregates,,,,MEA
,MIC,,,,,,,XP,Middle income,Aggregates,,Aggregates,Aggregates,,,,MIC
,MNA,,,,,,,XQ,Middle East & North Africa (excluding high income),Aggregates,,Aggregates,Aggregates,,,,MNA
,NAC,,,,,,,XU,North America,Aggregates,,Aggregates,Aggregates,,,,NAC
,NAF,,,,,,,M2,North Africa,Aggregates,,Aggregates,Aggregates,,,,NAF
,NRS,,,,,,,6X,Non-resource rich Sub-Saharan Africa countries,Aggregates,,Aggregates,Aggregates,,,,NRS
,NXS,,,,,,,6N,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,,Aggregates,Aggregates,,,,NXS
,OED,,,,,,,OE,OECD members,Aggregates,,Aggregates,Aggregates,,,,OED
,OSS,,,,,,,S4,Other small states,Aggregates,,Aggregates,Aggregates,,,,OSS
,PRE,,,,,,,V1,Pre-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,PRE
,PSS,,,,,,,S2,Pacific island small states,Aggregates,,Aggregates,Aggregates,,,,PSS
,PST,,,,,,,V4,Post-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,PST
,RRS,,,,,,,R6,Resource rich Sub-Saharan Africa countries,Aggregates,,Aggregates,Aggregates,,,,RRS
,SAS,,,,,,,8S,South Asia,Aggregates,,Aggregates,Aggregates,,,,SAS
,SSA,,,,,,,ZF,Sub-Saharan Africa (excluding high income),Aggregates,,Aggregates,Aggregates,,,,SSA
,SSF,,,,,,,ZG,Sub-Saharan Africa ,Aggregates,,Aggregates,Aggregates,,,,SSF
,SST,,,,,,,S1,Small states,Aggregates,,Aggregates,Aggregates,,,,SST
,SXZ,,,,,,,A4,Sub-Saharan Africa excluding South Africa,Aggregates,,Aggregates,Aggregates,,,,SXZ
,TEA,,,,,,,T4,East Asia & Pacific (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,TEA
,TEC,,,,,,,T7,Europe & Central Asia (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,TEC
,TLA,,,,,,,T2,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,TLA
,TMN,,,,,,,T3,Middle East & North Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,TMN
,TSA,,,,,,,T5,South Asia (IDA & IBRD),Aggregates,,Aggregates,Aggregates,,,,TSA
,TSS,,,,,,,T6,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,TSS
,UMC,,,,,,,XT,Upper middle income,Aggregates,,Aggregates,Aggregates,,,,UMC
,WLD,,,,,,,1W,World,Aggregates,,Aggregates,Aggregates,,,,WLD
,XKX,,,,,,,XK,Kosovo,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IDA,Pristina,20.926,42.565,XKX
,XZN,,,,,,,A5,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,,Aggregates,Aggregates,,,,XZN
