,State,Biomass total consumption,Geothermal energy total consumption,Hydropower total consumption,Renewable energy total consumption,Solar energy total consumption,Total energy consumption,Wind energy total consumption
0,AK,0.01243635512377831,0.0003023741245781393,0.023500647015599903,0.03836737480735842,6.502669345766438e-05,1.0,0.0020645975172808436
1,AL,0.10052407319862515,7.332968245127087e-05,0.05281973431771931,0.15530394633307382,0.00188680913427809,1.0,0.0
2,AR,0.08433685414381094,0.0007380822103004488,0.033632981313183444,0.12076870166041093,0.0020607839931161046,1.0,0.0
3,AZ,0.02631441445218889,0.00022254977535374125,0.035640862719042196,0.11262308776524546,0.04726118635157059,1.0,0.0031847195389026685
4,CA,0.03947253744427896,0.012730798512225945,0.04377564961946923,0.16364899400942803,0.05199365312101878,1.0,0.015676355312435115
5,CO,0.030107638741320046,0.0004814532657311207,0.010229771826674287,0.11276472793450205,0.010644620885683711,1.0,0.06130124321509289
6,CT,0.05077469036840589,2.8531213147183018e-05,0.005177735871614976,0.06637854670152003,0.010252215924221098,1.0,0.0001480905825258547
7,DC,0.01268027340721213,0.0001312163758037003,0.0,0.01829872004389784,0.005487230260882012,1.0,0.0
8,DE,0.02171625532029706,0.0014502236042440962,0.0,0.02881560575502688,0.005490614017928811,1.0,0.00015851281255691284
9,FL,0.05373054660087068,0.002297802098366769,0.0004270676334374991,0.07208600031624483,0.015630583983569892,1.0,0.0
10,GA,0.0864407980884755,0.00010630830082211753,0.011889655358613334,0.1059644019061247,0.007527640158213751,1.0,0.0
11,HI,0.03242559446381185,2.6015921744107392e-05,0.0027381757635673034,0.0970946719392268,0.046575003902388265,1.0,0.015329881887715282
12,IA,0.16213968805241102,0.0007838155848971403,0.004338826161206575,0.31157373159241836,0.0009814521453356854,1.0,0.14332994964856793
13,ID,0.08673834361981039,0.00417849300892323,0.1633357651665628,0.3043359408975772,0.009762834132998202,1.0,0.04032050496928257
14,IL,0.03922046623485545,0.0005158493578408091,0.0002786394915271364,0.0734279478188818,0.0008851793094388812,1.0,0.032528066044885465
15,IN,0.042706482894292484,0.0016730909229686905,0.0008208838614952904,0.06662732664769033,0.0014977530104475472,1.0,0.019929475995267676
16,KS,0.04297080197087142,0.000867197669428522,0.0001620430963408532,0.2118989492128445,0.00041935328778319703,1.0,0.16747866284173732
17,KY,0.0350379502346426,0.0015739568183321861,0.02186941033495333,0.0589612813587101,0.00047996397078197567,1.0,0.0
18,LA,0.03127046206664661,0.0004289175165070373,0.0028317404550717053,0.03505527494031946,0.0005241549020941048,1.0,0.0
19,MA,0.039925798659034895,0.0005851905241372356,0.005917986127101474,0.0678132949292117,0.020104257925278188,1.0,0.0012786992011706536
20,MD,0.031115402301569818,0.000421397531645476,0.014405141937038773,0.05906293017664689,0.009695839697421786,1.0,0.0034251487089710358
21,ME,0.2612756531370122,0.00018763437357482572,0.0812091992963711,0.40288487849371296,0.0023376115707863703,1.0,0.057874780115968465
22,MI,0.058721345350412964,0.0018016599001783966,0.005096896898424961,0.08457566798110704,0.0009568607750225338,1.0,0.017998558116975708
23,MN,0.09228285311776566,0.0005657230756600673,0.004948892840471881,0.15563699628938288,0.006454505602763465,1.0,0.051384495398697945
24,MO,0.03977535363567738,0.00019509404974233174,0.010936905919219978,0.06697212926310982,0.001958699919856251,1.0,0.014105521494154383
25,MS,0.06091784095469893,0.0008818666853227191,0.0,0.0645686585684671,0.0027680303995463633,1.0,0.0
26,MT,0.05123113404187604,0.0007553107083783457,0.19967546293598462,0.3001273045941718,0.0010959849744718428,1.0,0.047369411933460934
27,NC,0.054936923393568926,0.0003645196821780409,0.020764428307233924,0.10385569091746626,0.026033565967507614,1.0,0.0017562535669777587
28,ND,0.05116696185683851,0.0014642231008891637,0.04238761189404295,0.24452675500912519,1.6468766983415952e-05,1.0,0.14949448371164087
29,NE,0.1347778002322932,0.0013457904075790653,0.013252482272653583,0.22117376907924396,0.000495233103779095,1.0,0.07130357345106408
30,NH,0.13833828950947927,9.068082538312649e-05,0.04070943674699737,0.19505445539910507,0.0038429908412366365,1.0,0.012066803625982246
31,NJ,0.02495000240407388,0.0002218412730451904,0.00011234879922460287,0.04047127464949317,0.015093775543284994,1.0,9.330662986450069e-05
32,NM,0.0358228961474515,0.0012031142305982537,0.0019154666112010616,0.14283209011529505,0.020455660822386354,1.0,0.08343495230365787
33,NV,0.020487635969451367,0.04697672675873635,0.02579656553989191,0.16161161995351295,0.0645624752092757,1.0,0.003789508500876639
34,NY,0.04198560092076098,0.00030731798022843194,0.07071659032127307,0.12913760869266414,0.00583774492400169,1.0,0.010290613886467662
35,OH,0.03587899718640339,0.0009451109287840344,0.0009863821483815905,0.04371502608065937,0.0008994374457627389,1.0,0.005005373512791602
36,OK,0.03186970909535788,1.4322928322695575e-05,0.020743180943343868,0.20722651412748003,0.0004380428912024397,1.0,0.15416066148057303
37,OR,0.09953788137431414,0.0028051991506588426,0.2626392021717922,0.43106009098416387,0.009180121214950817,1.0,0.05689768707244787
38,PA,0.04354019383113973,0.0005666381687680154,0.008175891616428418,0.06140869079325675,0.0015395155427119901,1.0,0.007586451634208591
39,RI,0.04086062192231489,0.00029955697100603846,0.00016817233459988124,0.062181720718306084,0.011199226407260841,1.0,0.009648887697668185
40,SC,0.07898684616938666,0.00039791243347401503,0.01627449571660775,0.10217261416801607,0.00651335984854765,1.0,0.0
41,SD,0.17272007607629536,0.004650213342228817,0.17546340321930187,0.4147477483308522,8.215044983594804e-05,1.0,0.06183439465076101
42,TN,0.044542909588172634,9.813750677287018e-05,0.04156146448804473,0.08809522931924822,0.0017365270564645434,1.0,0.00015572994032502405
43,TX,0.018441860309831408,0.0001741707822538388,0.000923498752232925,0.07527881909679306,0.0034008286115221917,1.0,0.05233832006727856
44,US,0.04902678951844931,0.0020075084215918286,0.02556713097789402,0.11302395585825237,0.010144118529416928,1.0,0.026278418384362887
45,UT,0.02086380432417,0.004179547363913142,0.009118480573061343,0.07033270226692472,0.027640942714927254,1.0,0.00852992729085297
46,VA,0.05973104618000998,0.0007031607509806426,0.005592628924172318,0.07023009189041936,0.004203256035256423,1.0,0.0
47,VT,0.18771188917465514,0.0002118891746551321,0.08699146598082769,0.3196896188917466,0.02021714987140519,1.0,0.024557224690203414
48,WA,0.07086960459031302,0.0005471998396935681,0.28318217901141796,0.38436887049475343,0.0011276362893685237,1.0,0.02864176907396061
49,WI,0.08615712358684133,0.000333033512918722,0.012735418141174801,0.1090839087412362,0.000803071056355227,1.0,0.009055262443946128
50,WV,0.023902855429378422,3.869145499216498e-05,0.018368768257530324,0.06006969298330464,0.00019708459886634037,1.0,0.017562293242537386
51,WY,0.01637886242901969,0.0012259184681011578,0.016341881479755703,0.10561204395555629,0.0031211921178804737,1.0,0.06854418946079927
